getpwuid_r did not find a match for uid 501
Filtering the log data using "processImagePath CONTAINS "PrismRush""
Timestamp                       Thread     Type        Activity             PID    TTL  
2026-06-11 02:30:30.144895-0400 0x2c17878  Default     0x0                  40269  0    PrismRush: (libMobileGestalt.dylib) No persisted cache on this platform.
2026-06-11 02:30:30.144946-0400 0x2c178e7  Default     0x0                  40269  0    PrismRush: (libxpc.dylib) [com.apple.xpc:connection] [0x101eab6c0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2026-06-11 02:30:30.145366-0400 0x2c178e8  Default     0x0                  40269  0    PrismRush: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:1] Alloc com.apple.frontboard.systemappservices
2026-06-11 02:30:30.145733-0400 0x2c178e8  Default     0x0                  40269  0    PrismRush: (libxpc.dylib) [com.apple.xpc:connection] [0x101eb0130] activating connection: mach=false listener=false peer=false name=(anonymous)
2026-06-11 02:30:30.146020-0400 0x2c178e7  Activity    0x94e93a0            40269  0    PrismRush: (CoreFoundation) Loading Preferences From User Session CFPrefsD
2026-06-11 02:30:30.152953-0400 0x2c17878  Default     0x0                  40269  0    PrismRush: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2026-06-11 02:30:30.153075-0400 0x2c17878  Default     0x0                  40269  0    PrismRush: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2026-06-11 02:30:30.153109-0400 0x2c17878  Default     0x0                  40269  0    PrismRush: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
2026-06-11 02:30:30.153118-0400 0x2c178e6  Default     0x0                  40269  0    PrismRush: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2026-06-11 02:30:30.153127-0400 0x2c178e9  Default     0x0                  40269  0    PrismRush: (RunningBoardServices) [com.apple.runningboard:connection] Sending handshake request attempt #1 to server
2026-06-11 02:30:30.153144-0400 0x2c178e6  Default     0x0                  40269  0    PrismRush: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2026-06-11 02:30:30.153144-0400 0x2c17878  Default     0x0                  40269  0    PrismRush: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
